id_surat,no_surat,nama_surat,nama_surat_arab,ayat,surat,latin,terjemahan,tempat_turun,deskripsi,tema
5673,78,An-Naba',النبأ,1,عَمَّ يَتَسَاۤءَلُوْنَۚ,amma yatasaa-aluun,Tentang apakah mereka saling bertanya-tanya?,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5674,78,An-Naba',النبأ,2,عَنِ النَّبَاِ الْعَظِيْمِۙ,ani nnaba-i l'azhiim,"Tentang berita yang besar (hari kebangkitan),",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5675,78,An-Naba',النبأ,3,الَّذِيْ هُمْ فِيْهِ مُخْتَلِفُوْنَۗ,ladzii hum fiihi mukhtalifuun,yang dalam hal itu mereka berselisih.,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5676,78,An-Naba',النبأ,4,كَلَّا سَيَعْلَمُوْنَۙ,kallaa saya'lamuun,"Tidak! Kelak mereka akan mengetahui,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5677,78,An-Naba',النبأ,5,ثُمَّ كَلَّا سَيَعْلَمُوْنَ,tsumma kallaa saya'lamuun,sekali lagi tidak! Kelak mereka akan mengetahui.,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5678,78,An-Naba',النبأ,6,اَلَمْ نَجْعَلِ الْاَرْضَ مِهٰدًاۙ,alam naj'ali l-ardha mihaadaa,"Bukankah Kami telah menjadikan bumi sebagai hamparan,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5679,78,An-Naba',النبأ,7,وَّالْجِبَالَ اَوْتَادًاۖ,waljibaala awtaadaa,dan gunung-gunung sebagai pasak?,mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5680,78,An-Naba',النبأ,8,وَّخَلَقْنٰكُمْ اَزْوَاجًاۙ,wakhalaqnaakum azwaajaa,"Dan Kami menciptakan kamu berpasang-pasangan,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5681,78,An-Naba',النبأ,9,وَّجَعَلْنَا نَوْمَكُمْ سُبَاتًاۙ,waja'alnaa nawmakum subaataa,"dan Kami menjadikan tidurmu untuk istirahat,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5682,78,An-Naba',النبأ,10,وَّجَعَلْنَا الَّيْلَ لِبَاسًاۙ,waja'alnaa layla libaasaa,"dan Kami menjadikan malam sebagai pakaian,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
5683,78,An-Naba',النبأ,11,وَّجَعَلْنَا النَّهَارَ مَعَاشًاۚ,waja'alnaa nnahaara ma'aasyaa,"dan Kami menjadikan siang untuk mencari penghidupan,",mekah,"Surat An NabaÂ´ terdiri atas 40 ayat, termasuk golongan surat-surat Makkiyah, diturunkan sesudah surat Al MaÂ´aarij. Dinamai An NabaÂ´ (berita besar) diambil dari perkataan An NabaÂ´ yang terdapat pada ayat 2 surat ini. Dinamai juga Amma yatasaa aluun diambil dari perkataan Amma yatasaa aluun yang terdapat pada ayat 1 surat ini.",Berita Besar
